,sno,new_tweet_text,old_tweet_text,new_label,old_label,updated,
47,47,[video] Romney Suspends Political Beliefs To Help Victims Of Hurricane Sandy: A study finds the majority of Amer... http://t.co/WyQkpkRL,[video] Romney Suspends Political Beliefs To Help Victims Of Hurricane Sandy: A study finds the majority of Amer... http://t.co/WyQkpkRL,not_request,not_request,1,0
48,48,@MarySarahMusic: Thank you for featuring Hurricane #Sandy Relief Run http://t.co/6mWcE3PL on #BOOM Daily!  @TheHenningsens @Merber38,@MarySarahMusic: Thank you for featuring Hurricane #Sandy Relief Run http://t.co/6mWcE3PL on #BOOM Daily!  @TheHenningsens @Merber38,not_request,not_request,1,0
49,49,RT @soaprookie: @David_Boreanaz Pls RT Help Hurricane #Sandy victims Text LIVE to 25383 &amp;donate $10 to @AmeriCares For each $10 dona ...,RT @soaprookie: @David_Boreanaz Pls RT Help Hurricane #Sandy victims Text LIVE to 25383 &amp;donate $10 to @AmeriCares For each $10 dona ...,request,request,1,0
50,50,#sandyhelp Come Together...help those affected by Hurricane Sandy  http://t.co/KxqiFAMu or http://t.co/3XxtVnXt to donate,Not Found,request,Not Found,0,1
51,51,RT @LittleChuckFan: Text REDCROSS to 90999 to make a simple $10 donation to help the victims of Hurricane Sandy #SandyHelp (Please RT),RT @LittleChuckFan: Text REDCROSS to 90999 to make a simple $10 donation to help the victims of Hurricane Sandy #SandyHelp (Please RT),request,request,1,0
52,52,"1900 to hurricane sandy , please allow me to skip school .","1900 to hurricane sandy , please allow me to skip school .",request,not_request,1,1
53,53,If your school needs hurricane Sandy relief please http://t.co/4yRZ53xs @TeacherCast,If your school needs hurricane Sandy relief please http://t.co/4yRZ53xs @TeacherCast,request,not_request,1,1
54,54,Text REDCROSS to 90999 to make a $10 donation to those hurt by Hurricane Sandy #SandyHelp,Not Found,request,Not Found,0,1
55,55,SIGNAL BOOST: call for plus size clothes donations at Hurricane Sandy relief sitesâ¦ http://t.co/MBcpugCa,SIGNAL BOOST: call for plus size clothes donations at Hurricane Sandy relief sites… http://t.co/MBcpugCa,not_request,request,1,1
56,56,"PLZ RT and DONATE if you can, I am helping Hurricane Sandy Relief for family of 3  http://t.co/Szwrm3sN","PLZ RT and DONATE if you can, I am helping Hurricane Sandy Relief for family of 3  http://t.co/Szwrm3sN",request,request,1,0
57,57,RT @Dara989512: Plz text the word REDCROSS to 90999 to make a $10 Donation 2 help all the Victims from Hurricane Sandy Make a difference ...,Not Found,request,Not Found,0,1
58,58,WONO Latest Orlando Magic Donate $25K Towards Hurricane Sandy Relief Efforts http://t.co/nAE67CrB,WONO Latest Orlando Magic Donate $25K Towards Hurricane Sandy Relief Efforts http://t.co/nAE67CrB,not_request,not_request,1,0
59,59,"Event ""A Call for Volunteers to assist in Hurricane Relief in Atlantic City this weekend - 10/3"" on FreedomConnector. http://t.co/2q3uHhyZ","Event ""A Call for Volunteers to assist in Hurricane Relief in Atlantic City this weekend - 10/3"" on FreedomConnector. http://t.co/2q3uHhyZ",not_request,request,1,1
60,60,"Donate to Red Cross, do it now.  Text REDCROSS to 90999.  #sandy #hurricane","Donate to Red Cross, do it now.  Text REDCROSS to 90999.  #sandy #hurricane",request,request,1,0
61,61,Pope prays for victims of Hurricane Sandy http://t.co/m3IRbcRT,Pope prays for victims of Hurricane Sandy http://t.co/m3IRbcRT,not_request,not_request,1,0
62,62,Ryan Field: Hurricane Sandy Relief Donations; Also Watch for Scams... http://t.co/Mf3js38G,Ryan Field: Hurricane Sandy Relief Donations; Also Watch for Scams... http://t.co/Mf3js38G,not_request,request,1,1
63,63,"RT @UMC_UMCOR: How To Help: âDo This, Not That!â Here are effective ways you can help Hurricane Sandy survivors nowâand in the... http:/ ...","RT @UMC_UMCOR: How To Help: “Do This, Not That!” Here are effective ways you can help Hurricane Sandy survivors now—and in the... http:/ ...",not_request,request,1,1
64,64,American Red Cross needs us! Hurricane Sandy has canceled 300 blood drives. Click here for ways to help &amp; give support! http://t.co/3AUz78NV,American Red Cross needs us! Hurricane Sandy has canceled 300 blood drives. Click here for ways to help &amp; give support! http://t.co/3AUz78NV,request,request,1,0
65,65,"RT @standardistas: A great read, Content Strategy for Mobile launches with 15% of sales today donated to aid hurricane victims: http://t ...","RT @standardistas: A great read, Content Strategy for Mobile launches with 15% of sales today donated to aid hurricane victims: http://t ...",not_request,request,1,1
66,66,"From: NY STATE MLS &lt;info@ny-state-mls.com&gt;Date: November 1, 2012, 9:25:37 AM EDT Subject: Housing for Hurricane... http://t.co/bW8fjIUZ","From: NY STATE MLS &lt;info@ny-state-mls.com&gt;
Date: November 1, 2012, 9:25:37 AM EDT
Subject: Housing for Hurricane... http://t.co/bW8fjIUZ",not_request,not_request,1,0
67,67,#UCWRadio  Time Warner to Donate $1 Million for Hurricane Sandy Relief Efforts http://t.co/9FIbeMWe #entertainment #news,Not Found,not_request,Not Found,0,1
68,68,Here's info on how you can help the victims of Hurricane Sandy.... http://t.co/RQht9iZ0,Here's info on how you can help the victims of Hurricane Sandy.... http://t.co/RQht9iZ0,not_request,request,1,1
69,69,"great post: New Englanders look to help Hurricane Sandy victims: ""I'm a New Englander,"" said Sarah Quiroga, Owne... http://t.co/eij8MTOE","great post: New Englanders look to help Hurricane Sandy victims: ""I'm a New Englander,"" said Sarah Quiroga, Owne... http://t.co/eij8MTOE",not_request,not_request,1,0
70,70,"Gotta respect it RT @SI_PeterKing: You the man, Wade ... Dwyane Wade giving $200,000 to hurricane relief #SandyHelp","Gotta respect it RT @SI_PeterKing: You the man, Wade ... Dwyane Wade giving $200,000 to hurricane relief #SandyHelp",not_request,not_request,1,0
71,71,New blogpost: Hurricane Sandy Relief http://t.co/8TgP3itS,New blogpost: Hurricane Sandy Relief http://t.co/8TgP3itS,not_request,not_request,1,0
72,72,Tell that blowhard Donald Trump to donate his $5 mil to Red Cross hurricane relief efforts! http://t.co/ls3FexxD @realdonaldtrump #thedon,Tell that blowhard Donald Trump to donate his $5 mil to Red Cross hurricane relief efforts! http://t.co/ls3FexxD @realdonaldtrump #thedon,not_request,not_request,1,0
73,73,Donate to the @UnitedWay fund today to help families affected by Hurricane Sandy http://t.co/LGMZh73I #sandyfund #UnitedWay,Donate to the @UnitedWay fund today to help families affected by Hurricane Sandy http://t.co/LGMZh73I #sandyfund #UnitedWay,request,request,1,0
74,74,RT @fullernews: Join the Fuller Community today at 10:00 a.m. in the prayer garden as we pray for those affected by Hurricane Sandy.,Not Found,not_request,Not Found,0,1
75,75,Hurricane Sandy Cancels 300 Blood Drives: How You Can Help - Huffington Post: TIMEHurricane Sandy Cancels 300 Bl... http://t.co/I0Lkeclv,Hurricane Sandy Cancels 300 Blood Drives: How You Can Help - Huffington Post: TIMEHurricane Sandy Cancels 300 Bl... http://t.co/pWyzPheV,not_request,request,1,1
76,76,I wish i had money like that so i could help with the hurricane sandy relief .,I wish i had money like that so i could help with the hurricane sandy relief .,not_request,not_request,1,0
77,77,How you can help victims of Hurricane Sandy now! http://t.co/lga34bbu http://t.co/0VKhrglG,How you can help victims of Hurricane Sandy now! http://t.co/lga34bbu http://t.co/0VKhrglG,not_request,request,1,1
78,78,@Syr_Expats can volunteer for hurricane relief in @CityofNewarkNJ New Hope Baptist Church is coordinating efforts. Call them 973-622-4547.,@Syr_Expats can volunteer for hurricane relief in @CityofNewarkNJ New Hope Baptist Church is coordinating efforts. Call them 973-622-4547.,not_request,request,1,1
79,79,Donate now to help with Hurricane Sandy relief and DOUBLE your donations value thanks to Craig Newmark of Craâ¦ http://t.co/NiwFRf2C,Donate now to help with Hurricane Sandy relief and DOUBLE your donations value thanks to Craig Newmark of Cra… http://t.co/NiwFRf2C,request,request,1,0
80,80,Use iTunes to donate to American Red Cross Hurricane Sandy relief efforts http://t.co/7N4oGeza @redcross,Use iTunes to donate to American Red Cross Hurricane Sandy relief efforts http://t.co/7N4oGeza @redcross,not_request,request,1,1
81,81,All Nations is taking up a collection for Hurricane Sandy relief.  Please bring and clothing &amp; non-perisihable food.,All Nations is taking up a collection for Hurricane Sandy relief.  Please bring and clothing &amp; non-perisihable food.,request,request,1,0
82,82,RT @bumblefoot: I want to auction myself off for one-on-one guitar lessons to donate to Hurricane Sandy relief while I'm in vegas this m ...,RT @bumblefoot: I want to auction myself off for one-on-one guitar lessons to donate to Hurricane Sandy relief while I'm in vegas this m ...,not_request,not_request,1,0
83,83,please donate to redcross 90999 to help victims of hurricane sandy ny/nj....they need your help! please donate,please donate to redcross 90999 to help victims of hurricane sandy ny/nj....they need your help! please donate,request,request,1,0
84,84,RT @amandapalmer: how to volunteer / donate to help victims of hurricane sandy via @gothamist: http://t.co/naZuG31g,RT @amandapalmer: how to volunteer / donate to help victims of hurricane sandy via @gothamist: http://t.co/naZuG31g,not_request,request,1,1
85,85,@realDonaldTrump offer Obama 10 mil. to offer towards Hurricane Sandy relief. And dip your balls in Stephen Colberts mouth #respectTrump,@realDonaldTrump offer Obama 10 mil. to offer towards Hurricane Sandy relief. And dip your balls in Stephen Colberts mouth #respectTrump,not_request,not_request,1,0
86,86,Just texted Redcross to 90999 to help hurricane Sandy relief. #SandyHelp,Just texted Redcross to 90999 to help hurricane Sandy relief. #SandyHelp,not_request,not_request,1,0
87,87,Red Cross still looking for blood donations to meet shortage created by Hurricane Sandy http://t.co/0gNRnmVI,Red Cross still looking for blood donations to meet shortage created by Hurricane Sandy http://t.co/0gNRnmVI,not_request,request,1,1
88,88,"Kudos @BarackObama 4 helping #ChrisChristie w/ #Hurricane #Sandy #relief, doing what you do best #Community #Organizing! #BenghaziGate #tcot","Kudos @BarackObama 4 helping #ChrisChristie w/ #Hurricane #Sandy #relief, doing what you do best #Community #Organizing!
#BenghaziGate #tcot",not_request,not_request,1,0
89,89,How to Help Hurricane Sandy Victims http://t.co/5tGd5B2K via @slapdashmom,How to Help Hurricane Sandy Victims http://t.co/5tGd5B2K via @slapdashmom,not_request,request,1,1
90,90,More Hurricane Sandy Relief Volunteer Opportunities in NYC. http://t.co/xQJm6XON,More Hurricane Sandy Relief Volunteer Opportunities in NYC. http://t.co/xQJm6XON,not_request,request,1,1
91,91,"OK, I just sent in my application to the American Red Cross to help out with hurricane rebuild efforts in NJ","OK, I just sent in my application to the American Red Cross to help out with hurricane rebuild efforts in NJ",not_request,not_request,1,0
92,92,Phillip Phillips to Perform with PS22  Staten Isld to Raise Funds For Hurricane Sandy Relief http://t.co/EzfsVrtW,Phillip Phillips to Perform with PS22  Staten Isld to Raise Funds For Hurricane Sandy Relief http://t.co/EzfsVrtW,not_request,request,1,1
93,93,"#Yahooâs Homepage Isnât Raising Enough Money For #Hurricane Sandy #Relief, Letâs All Step Up http://t.co/vk47Oy1Y",Not Found,not_request,Not Found,0,1
94,94,Monetary donations can be made payable to New Life Fellowship earmarked Hurricane Sandy Relief @KeetwitÂ ,Monetary donations can be made payable to New Life Fellowship earmarked Hurricane Sandy Relief @Keetwit ,not_request,request,1,1
95,95,I am taking today to remember and support those impacted by Hurricane Sandy by making a donation to the Red Cross... http://t.co/GhIDssfY,I am taking today to remember and support those impacted by Hurricane Sandy by making a donation to the Red Cross... http://t.co/GhIDssfY,not_request,not_request,1,0
96,96,"Louis C.K. Will Brave Hurricane To Host 'SNL': Louis C.K. Will Brave Hurricane To Host 'SNL'Wed, 10/31/2012 - 14... http://t.co/1nuSFO7n","Louis C.K. Will Brave Hurricane To Host 'SNL': Louis C.K. Will Brave Hurricane To Host 'SNL'Wed, 10/31/2012 - 14... http://t.co/1nuSFO7n",not_request,not_request,1,0
97,97,Rockford First looking for donations for hurricane victims: Rockford First had just kicked off its 'Love Works'... http://t.co/o8wfr9vr,Rockford First looking for donations for hurricane victims: Rockford First had just kicked off its 'Love Works'... http://t.co/o8wfr9vr,not_request,request,1,1
98,98,All money from gate admissions this weekend will be donated to American Red Cross for Hurricane Sandy relief. Please come out and support,All money from gate admissions this weekend will be donated to American Red Cross for Hurricane Sandy relief. Please come out and support,request,not_request,1,1
99,99,Hurricane Sandy Relief - Support aid efforts for the millions affected by Hurricane Sandy: Support aid efforts f... http://t.co/EGujTahV,Hurricane Sandy Relief - Support aid efforts for the millions affected by Hurricane Sandy: Support aid efforts f... http://t.co/EGujTahV,request,request,1,0
100,100,"RT @GottaLaff: Miss this? VIDEO: Glad youâre amused, Mitt, but climate change isnât funny. Ask Hurricane Sandy victims. http://t.co/Fc5h ...","RT @GottaLaff: Miss this? VIDEO: Glad you’re amused, Mitt, but climate change isn’t funny. Ask Hurricane Sandy victims. http://t.co/Fc5h ...",not_request,not_request,1,0
101,101,Help the Red Cross help those in need who are suffering from the after-effects of Hurricane Sandy by donating here: https://t.co/9fmdOB3b,Help the Red Cross help those in need who are suffering from the after-effects of Hurricane Sandy by donating here: https://t.co/9fmdOB3b,request,request,1,0
102,102,gawkercom: President Obama comforts a woman in New Jersey whose marina was damaged by Hurricane Sandy. As theâ¦ http://t.co/3pjNgwMS,"gawkercom: President Obama comforts a woman in New Jersey whose marina was damaged by Hurricane Sandy.
As the… http://t.co/3pjNgwMS",not_request,not_request,1,0
103,103,"RT @regdgreen: Friends and family (in and out of new york), here's how you can help with Hurricane Sandy Relief Efforts: http://t.co/rz2 ...","RT @regdgreen: Friends and family (in and out of new york), here's how you can help with Hurricane Sandy Relief Efforts: http://t.co/rz2 ...",not_request,request,1,1
104,104,"Yahooâs Homepage Isnât Raising Enough Money For Hurricane Sandy Relief, Letâs All Step Up: Weâre... http://t.co/k0PvMQIA #teamfollowback",Not Found,request,Not Found,0,1
105,105,RT @BaltimorePolice: Thousands still wo power &amp; many are homeless from Hurricane #Sandy Visit http://t.co/yiMlAXYR on ways to help N ...,RT @BaltimorePolice: Thousands still wo power &amp; many are homeless from Hurricane #Sandy Visit http://t.co/yiMlAXYR on ways to help N ...,not_request,not_request,1,0
106,106,Updated blog post: Apple Enables Hurricane Sandy Red Cross Donations in iTunes - PC Magazine: http://t.co/91mkwdjx,Updated blog post: Apple Enables Hurricane Sandy Red Cross Donations in iTunes - PC Magazine: http://t.co/91mkwdjx,not_request,request,1,1
107,107,"@realDonaldTrump just think Obama could have had $5,000,000.00 to donate to hurricane Sandy victims had he taken your challenge..","@realDonaldTrump just think Obama could have had $5,000,000.00 to donate to hurricane Sandy victims had he taken your challenge..",not_request,not_request,1,0
108,108,"RT @Disney: The Walt Disney Company will be supporting Hurricane Sandy relief and rebuilding efforts. To learn more, visit: http://t.co/ ...","RT @Disney: The Walt Disney Company will be supporting Hurricane Sandy relief and rebuilding efforts. To learn more, visit: http://t.co/ ...",not_request,not_request,1,0
109,109,"RT @KarenCivil: They announced at dinner @nationwide  is donating over $300,000 to the RedCross for Hurricane Sandy victims.","RT @KarenCivil: They announced at dinner @nationwide  is donating over $300,000 to the RedCross for Hurricane Sandy victims.",not_request,not_request,1,0
110,110,Airlines reward customers who donate to Hurricane Sandy relief - Los Angeles Times: Airlines reward customers wh... http://t.co/x68iIGYF,Airlines reward customers who donate to Hurricane Sandy relief - Los Angeles Times: Airlines reward customers wh... http://t.co/x68iIGYF,not_request,request,1,1
111,111,RT @nelfan: @NelsonRockBand Please help those affected by hurricane Sandy. So many people lost their homes and everything they own. My h ...,Not Found,request,Not Found,0,1
112,112,Major Retailers Giving Back! Retailers Pitch in to Help Hurricane Sandy Victims via @RTouchPoints http://t.co/4PmzKT65,Not Found,not_request,Not Found,0,1
113,113,Check out #VH1Buzz this morning at 10am where I'll be talking about hurricane Sandy relief,Check out #VH1Buzz this morning at 10am where I'll be talking about hurricane Sandy relief,not_request,not_request,1,0
114,114,Country music stars remember Hurricane Sandy victims http://t.co/RUHK5r6F,Country music stars remember Hurricane Sandy victims http://t.co/RUHK5r6F,not_request,not_request,1,0
115,115,RT @beccasara: Help kids affected by #Sandy: Hurricane # Relief Efforts â Give to @kidsdonations http://t.co/zEBmqDF6 via @kidzvuz,RT @beccasara: Help kids affected by #Sandy: Hurricane # Relief Efforts – Give to @kidsdonations http://t.co/zEBmqDF6 via @kidzvuz,request,request,1,0
